user_id,product_name,price,Qty,Top_Sell_Rank,No_of_Orders,Popularity_Rank
002806361b35a8723d0701412d49178c,TeeMoods Casual Full Sleeve Striped Women's Top,8599,2000,999,1,999
00469a2d06efd8f3bd43eb564323ca82,Bells And Whistles Striped Round Neck Boy's Sweater,170,50,998,1,998
00a60fa9f555b20465187aed498363a9,WearYourShine by PCJ The Helaine Gold Diamond 18 K Ring,5107,1000,997,1,997
0122b4961cac583072f896bbd7deacb5,"BlueStone Sylvan Lattice Yellow Gold Diamond, Pearl 18 K Ring",230,100,996,1,996
01915c5467d18c2947b8744ed7fe9282,Allen Solly Casual Short Sleeve Solid Women's Top,219,38,995,1,995
01c7fc1b8b64a7ebf019231ff8129c5c,Jewlook Neck Tie Men's  Combo,399,80,994,1,994
020f2a550defe635168610d63bd83a0c,BFT 9 W LED Bulb,999,600,993,1,993
0253504b4ddfd5b6e8128eb8fec9cc79,Belle Gambe Winter Boots,339,50,992,1,992
025c2bc0e88388a4a28dd2cd316eb23c,Kaaryah Casual Sleeveless Solid Women's Top,3458.25,25,991,1,991
02ac1837df127093eaa55cf46eea888c,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,2189,5,990,1,990
031982f42aa5241f8f206a830a3ce562,Taj Pearl Alloy Cuff,699,50,989,1,989
031d17e76c5fdbf2110c0ac77596b9d3,BlueStone The Princess Gold Diamond 18 K Ring,6059,10,988,1,988
039e5688795da63f45186aaec2bdc770,Selfcare Soft & Comfortable Newly Launched Girl's Pyjama,6471,5,987,1,987
0442da3a68e872926e37fcdcba2c6d0d,"Zoop C4040PP03 Digital Watch  - For Boys, Girls",3139,500,986,1,986
048b68e44c549bb4eb31b7bc6869efe3,Yepme Women Flats,470,25,985,1,985
06fcdcb72932c2d210c5d6b32a9a06c7,Selfie Boots,695,300,984,1,984
072840073a0ba1721565a57f35dfd124,Masaba for Magic fairy Girl's Layered Pink Dress,441,50,983,1,983
07303863fcb578096bd6582f72171bdc,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,798,300,982,1,982
074a7aec96cc5017099765c7f1df3010,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,3179,35,981,1,981
074fb99cb624b5b5f0047e8e5772c119,Dumdaar.Com Casual Short Sleeve Self Design Women's Top,3274,150,980,1,980
080a910f874efa5c33da9983345b90b8,Tapyti Casual Full Sleeve Solid Women's Top,7889,9,979,1,979
081484729fc269f0736125feddc96656,Shopaholic Casual 3/4 Sleeve Solid Women's Top,341,2,978,1,978
089669069b5335d295c4fe7ea0f29cf9,Dearfoams Boots,1145,150,977,1,977
089b8b0ca578416877d89b696d093000,Navaksha Necktie Men's  Combo,999,100,976,1,976
08af81fbd940cc39e5446f2a766e2518,"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",995,375,975,1,975
08b1bd85c3efc2d7aa556fd79b073382,Alisha Solid Women's Cycling Shorts,799,6,974,1,974
0927284454969cb720d89403e6296c15,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",3719,70,973,1,973
0966e1309ae393479c0a165a76da96fc,Steppings Trendy Boots,877.55,200,972,1,972
09a10fcb6cf9ef7e1dac69eeb79cde88,Sheezworld Casual Full Sleeve Self Design Women's Top,1122,200,971,1,971
09c6ad3c20a6e08dffdf9533dd8e0e6a,Addyvero Geometric Print Round Neck Casual Boy's Sweater,168,4,970,1,970
09dc7e105efd17648628886e82eec47a,Betty Girl's Maxi Dress,8139,100,969,1,969
0a9677accadd5e35f32f9bb1d2009ed1,"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",39,100,968,1,968
0ab79f58b5690ca9768bcfbcfb66fcee,TeeMoods Casual Full Sleeve Striped Women's Top,8599,1500,967,1,967
0b6b7ffc83e2aa59369c398fb84e2680,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,798,6,966,1,966
0b6c294d681f56e59d0ed25c85243688,Carl 3346-1-Cheetablue Boots,7953,100,965,1,965
